Transaktion_ID;Kunden_ID;Service;Betrag_€;Datum;Status;Währung
ERP_1;9.0;Cloud Integration;9027.38;11.04.2022;offen;€
ERP_2;1.0;Security Review;1897.68;04.03.2022;offen;€
ERP_3;6.0;Azure Setup;9950.06;29.12.2022;offen;€
ERP_4;6.0;Azure Setup;4360.26;06.03.2024;storniert;€
ERP_5;3.0;Dashboard Design;4852.32;01.02.2022;offen;€
ERP_6;8.0;Azure Setup;4108.62;26.05.2023;offen;€
ERP_7;7.0;Data Governance;6824.99;02.11.2024;storniert;€
ERP_8;4.0;Datenmodellierung;8072.79;24.05.2023;storniert;€
ERP_9;9.0;Security Review;8363.6;20.07.2023;bezahlt;€
ERP_10;8.0;Reporting Automation;6324.97;05.08.2023;offen;€
ERP_11;8.0;Cloud Integration;6978.44;24.07.2023;bezahlt;€
ERP_12;8.0;Cloud Integration;2399.18;11.09.2022;storniert;€
ERP_13;9.0;Datenmodellierung;7932.97;2025/01/05;storniert;€
ERP_14;9.0;Azure Setup;9480.76;30.12.2024;bezahlt;€
ERP_15;7.0;Fabric Migration;9743.94;05.12.2024;storniert;€
ERP_16;6.0;Data Governance;9616.45;03.06.2022;offen;€
ERP_17;5.0;Security Review;8466.02;24.08.2023;offen;€
ERP_18;4.0;Fabric Migration;9034.19;19.09.2024;bezahlt;€
ERP_19;2.0;Support Paket;2816.19;24.12.2024;storniert;€
ERP_20;10.0;Azure Setup;9225.65;11.03.2022;bezahlt;€
ERP_21;9.0;Security Review;6511.06;26.09.2024;storniert;€
ERP_22;1.0;Power BI Beratung;6184.25;02.03.2024;offen;€
ERP_23;9.0;Support Paket;7720.27;12.07.2024;bezahlt;€
ERP_24;;Azure Setup;598.86;03.11.2022;storniert;€
ERP_25;2.0;Datenmodellierung;5006.37;28.11.2022;bezahlt;€
ERP_26;8.0;Azure Setup;2540.96;04.09.2023;bezahlt;€
ERP_27;6.0;Support Paket;5255.79;06.01.2022;storniert;€
ERP_28;2.0;Power BI Beratung;1932.74;04.09.2024;offen;€
ERP_29;5.0;Support Paket;2982.7;27.02.2024;storniert;€
ERP_30;7.0;Dashboard Design;832.98;21.07.2022;offen;€
ERP_31;10.0;Fabric Migration;5586.66;21.01.2022;bezahlt;€
ERP_32;4.0;Azure Setup;535.57;25.04.2024;bezahlt;€
ERP_33;1.0;Datenmodellierung;4128.52;13.12.2022;bezahlt;€
ERP_34;3.0;Reporting Automation;6836.92;29.04.2023;offen;€
ERP_35;5.0;Datenmodellierung;857.01;14.03.2024;storniert;€
ERP_36;8.0;Data Governance;5638.4;2025/01/05;bezahlt;€
ERP_37;5.0;Dashboard Design;8856.99;25.08.2024;bezahlt;€
ERP_38;2.0;Cloud Integration;3134.22;12.10.2023;bezahlt;€
ERP_39;;Datenmodellierung;8938.5;20.10.2024;offen;€
ERP_40;10.0;Security Review;1144.47;08.07.2024;storniert;€
ERP_41;6.0;Data Governance;5525.87;02.01.2023;storniert;€
ERP_42;4.0;Power BI Beratung;5003.79;07.06.2022;bezahlt;€
ERP_43;3.0;Azure Setup;6670.88;05.05.2022;offen;€
ERP_44;9.0;Azure Setup;4373.12;03.07.2022;storniert;€
ERP_45;6.0;Dashboard Design;5193.6;11.09.2024;storniert;€
ERP_46;3.0;Dashboard Design;9127.42;20.07.2022;bezahlt;€
ERP_47;1.0;Fabric Migration;8221.46;01.06.2024;offen;€
ERP_48;6.0;Power BI Beratung;5012.22;19.11.2023;bezahlt;€
ERP_49;7.0;Datenmodellierung;5968.14;04.12.2022;storniert;€
ERP_50;8.0;Power BI Beratung;7109.67;22.12.2023;bezahlt;€
ERP_51;8.0;Dashboard Design;5657.8;13.08.2024;storniert;€
ERP_52;3.0;Datenmodellierung;4481.86;28.10.2023;offen;€
ERP_53;6.0;Datenmodellierung;5436.45;06.04.2023;bezahlt;€
ERP_54;8.0;Azure Setup;4451.61;21.03.2024;offen;€
ERP_55;2.0;Support Paket;505.78;18.07.2023;offen;€
ERP_56;10.0;Reporting Automation;574.95;12.04.2022;bezahlt;€
ERP_57;8.0;Power BI Beratung;6478.96;27.05.2022;bezahlt;€
ERP_58;6.0;Fabric Migration;5138.86;29.05.2023;bezahlt;€
ERP_59;8.0;Security Review;8752.08;01.04.2024;storniert;€
ERP_60;7.0;Azure Setup;6172.77;2025/01/05;offen;€
ERP_61;9.0;Dashboard Design;1713.11;19.07.2022;storniert;€
ERP_62;10.0;Data Governance;1035.1;14.02.2023;storniert;€
ERP_63;4.0;Azure Setup;9970.59;10.01.2022;storniert;€
ERP_64;4.0;Support Paket;3838.88;12.05.2023;offen;€
ERP_65;7.0;Datenmodellierung;7405.53;21.11.2024;offen;€
ERP_66;;Data Governance;1552.43;23.10.2022;storniert;€
ERP_67;9.0;Data Governance;8993.99;08.02.2024;storniert;€
ERP_68;9.0;Support Paket;3393.66;07.04.2024;offen;€
ERP_69;4.0;Reporting Automation;1206.17;11.07.2022;storniert;€
ERP_70;5.0;Reporting Automation;7175.7;29.06.2022;offen;€
